tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,source,key,ltp,open,high,low,qty,Invested,value,value_H,PnL,PnL_H,PnL%,PnL%_H,Yvalue,dPnL,dPnL%
APCOTEXIND,BSE,134065668.0,INE116A01032,CNC,0.0,9.0,0.0,0.0,9.0,0.0,2023-10-02 00:00:00,{},9.0,0.0,0.0,,False,546.13,507.45,504.4,-348.14999700000004,3.0500000000000114,0.6046788263283132,holdings,BSE:APCOTEXIND,507.45,503.25,521.25,500.0,9.0,4915.2,4567.05,4691.25,-348.15,-223.9499969999997,-7.08,-4.56,4539.6,27.45,-7.67
APEX,NSE,5535489.0,INE346W01013,CNC,0.0,42.0,0.0,0.0,42.0,0.0,2023-10-02 00:00:00,{},42.0,0.0,0.0,,False,241.81,225.9,224.55,-668.1499859999999,1.3499999999999943,0.6012024048096167,holdings,NSE:APEX,225.9,225.65,228.95,223.8,42.0,10155.95,9487.8,9615.9,-668.15,-540.049986,-6.58,-5.32,9431.1,56.7,-7.08
APLLTD,NSE,6483969.0,INE901L01018,CNC,0.0,12.0,0.0,0.0,12.0,0.0,2023-10-02 00:00:00,{},12.0,0.0,0.0,,False,803.8,784.45,762.85,-232.1999999999989,21.600000000000023,2.8314871862096114,holdings,NSE:APLLTD,784.45,769.75,789.0,760.75,12.0,9645.6,9413.4,9468.0,-232.2,-177.59999999999854,-2.41,-1.84,9154.2,259.2,-2.54
APOLLO,BSE,138465028.0,INE713T01028,CNC,0.0,87.0,0.0,0.0,87.0,0.0,2023-10-02 00:00:00,{},87.0,0.0,0.0,,False,58.1,56.73,57.37,-119.1900000000004,-0.6400000000000006,-1.1155656266341303,holdings,BSE:APOLLO,56.73,58.49,58.49,56.26,87.0,5054.7,4935.51,5088.63,-119.19,33.93000000000029,-2.36,0.67,4991.19,-55.68,-2.39
ARFIN,BSE,138022660.0,INE784R01023,CNC,0.0,214.0,0.0,0.0,214.0,0.0,2023-10-02 00:00:00,{},214.0,0.0,0.0,,False,46.0,39.3,38.49,-1433.8000000000006,0.8099999999999952,2.104442712392817,holdings,BSE:ARFIN,39.3,38.49,39.45,38.12,214.0,9844.0,8410.2,8442.300000000001,-1433.8,-1401.699999999999,-14.57,-14.24,8236.86,173.34,-17.41
ARMANFIN,NSE,4419329.0,INE109C01017,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-10-02 00:00:00,{},2.0,0.0,0.0,,False,2427.88,2172.95,2201.9,-509.85000000000036,-28.950000000000273,-1.3147736046142091,holdings,NSE:ARMANFIN,2172.95,2201.1,2209.85,2167.05,2.0,4855.75,4345.9,4419.7,-509.85,-436.0500000000002,-10.5,-8.98,4403.8,-57.9,-11.58
ASAHISONG,NSE,6422529.0,INE228I01012,CNC,0.0,36.0,0.0,0.0,36.0,0.0,2023-10-02 00:00:00,{},36.0,0.0,0.0,,False,273.48,242.8,246.75,-1104.3000000000004,-3.9499999999999886,-1.600810536980745,holdings,NSE:ASAHISONG,242.8,246.75,247.95,241.3,36.0,9845.1,8740.8,8926.199999999999,-1104.3,-918.9000000000015,-11.22,-9.33,8883.0,-142.2,-12.43
ASHIANA,BSE,134071300.0,INE365D01021,CNC,0.0,24.0,0.0,0.0,24.0,0.0,2023-10-02 00:00:00,{},24.0,0.0,0.0,,False,207.58,206.35,207.55,-29.399999999999864,-1.200000000000017,-0.5781739339918174,holdings,BSE:ASHIANA,206.35,212.95,212.95,205.9,24.0,4981.8,4952.4,5110.799999999999,-29.4,129.0,-0.59,2.59,4981.2,-28.8,-0.59
ASPINWALL,NSE,4421121.0,INE991I01015,CNC,0.0,37.0,0.0,0.0,37.0,0.0,2023-10-02 00:00:00,{},37.0,0.0,0.0,,False,268.46,272.9,269.05,164.0999950000001,3.849999999999966,1.430960787957616,holdings,NSE:ASPINWALL,272.9,266.1,275.0,266.1,37.0,9933.2,10097.3,10175.0,164.1,241.79999500000122,1.65,2.43,9954.85,142.45,1.65
ASRL,BSE,138717444.0,INE01B501018,CNC,0.0,320.0,0.0,0.0,320.0,0.0,2023-10-02 00:00:00,{},320.0,0.0,0.0,,False,39.25,35.45,35.4,-1214.599999999998,0.05000000000000426,0.1412429378531194,holdings,BSE:ASRL,35.45,36.0,36.69,35.02,320.0,12558.6,11344.0,11740.8,-1214.6,-817.7999999999993,-9.67,-6.51,11328.0,16.0,-10.72
AURUM,BSE,138057988.0,INE898S01029,CNC,0.0,140.0,0.0,0.0,140.0,0.0,2023-10-02 00:00:00,{},140.0,0.0,0.0,,False,142.0,122.85,122.5,-2681.000000000001,0.3499999999999943,0.2857142857142811,holdings,BSE:AURUM,122.85,122.25,124.65,122.25,140.0,19880.0,17199.0,17451.0,-2681.0,-2429.0,-13.49,-12.22,17150.0,49.0,-15.63
AVADHSUGAR,BSE,138406148.0,INE349W01017,CNC,0.0,14.0,0.0,0.0,14.0,0.0,2023-10-02 00:00:00,{},14.0,0.0,0.0,,False,711.55,689.8,693.0,-304.5,-3.2000000000000455,-0.46176046176046837,holdings,BSE:AVADHSUGAR,689.8,694.3,696.4,685.5,14.0,9961.7,9657.2,9749.6,-304.5,-212.09999999999854,-3.06,-2.13,9702.0,-44.8,-3.14
AVANTI,BSE,131218692.0,INE871C01038,CNC,0.0,10.0,0.0,0.0,10.0,0.0,2023-10-02 00:00:00,{},10.0,0.0,0.0,,False,473.25,441.5,438.5,-317.5,3.0,0.6841505131128849,holdings,BSE:AVANTI,441.5,440.05,443.0,435.05,10.0,4732.5,4415.0,4430.0,-317.5,-302.5,-6.71,-6.39,4385.0,30.0,-7.24
AWL,BSE,139125252.0,INE699H01024,CNC,0.0,148.0,0.0,0.0,148.0,0.0,2023-10-02 00:00:00,{},148.0,0.0,0.0,,False,432.82,337.55,338.9,-14100.649975999997,-1.349999999999966,-0.39834759516080437,holdings,BSE:AWL,337.55,339.4,341.95,337.0,148.0,64058.05,49957.4,50608.6,-14100.65,-13449.449975999996,-22.01,-21.0,50157.2,-199.8,-28.11
AYMSYNTEX,BSE,130286852.0,INE193B01039,CNC,0.0,71.0,0.0,0.0,71.0,0.0,2023-10-02 00:00:00,{},71.0,0.0,0.0,,False,71.5,69.51,66.2,-141.28999999999962,3.3100000000000023,5.000000000000003,holdings,BSE:AYMSYNTEX,69.51,67.0,72.85,66.35,71.0,5076.5,4935.21,5172.349999999999,-141.29,95.84999999999945,-2.78,1.89,4700.2,235.01,-3.01
BALMLAWRIE,NSE,86529.0,INE164A01016,CNC,0.0,58.0,0.0,0.0,58.0,0.0,2023-10-02 00:00:00,{},58.0,0.0,0.0,,False,172.0,153.8,154.25,-1055.5999999999995,-0.44999999999998863,-0.29173419773094883,holdings,NSE:BALMLAWRIE,153.8,155.0,155.75,153.5,58.0,9976.0,8920.4,9033.5,-1055.6,-942.5,-10.58,-9.45,8946.5,-26.1,-11.8
BALPHARMA,NSE,3440897.0,INE083D01012,CNC,0.0,98.0,0.0,0.0,98.0,0.0,2023-10-02 00:00:00,{},98.0,0.0,0.0,,False,101.45,95.55,93.8,-578.2000000000005,1.75,1.865671641791045,holdings,NSE:BALPHARMA,95.55,93.2,96.9,93.2,98.0,9942.1,9363.9,9496.2,-578.2,-445.89999999999964,-5.82,-4.48,9192.4,171.5,-6.29
BANARBEADS,BSE,134873348.0,INE655B01011,CNC,0.0,51.0,0.0,0.0,51.0,0.0,2023-10-02 00:00:00,{},51.0,0.0,0.0,,False,97.0,91.15,91.65,-298.3499999999997,-0.5,-0.5455537370430987,holdings,BSE:BANARBEADS,91.15,91.65,92.25,89.4,51.0,4947.0,4648.65,4704.75,-298.35,-242.25,-6.03,-4.9,4674.15,-25.5,-6.38
BANSWRAS,NSE,3714817.0,INE629D01020,CNC,0.0,29.0,0.0,0.0,29.0,0.0,2023-10-02 00:00:00,{},29.0,0.0,0.0,,False,176.15,148.8,149.95,-793.1499999999999,-1.1499999999999773,-0.7669223074357969,holdings,NSE:BANSWRAS,148.8,150.9,150.9,146.6,29.0,5108.35,4315.2,4376.1,-793.15,-732.25,-15.53,-14.33,4348.55,-33.35,-18.24
BBTC,NSE,97281.0,INE050A01025,CNC,0.0,3.0,0.0,0.0,3.0,0.0,2023-10-02 00:00:00,{},3.0,0.0,0.0,,False,1303.98,1261.45,1230.7,-127.59999899999957,30.75,2.498578045015032,holdings,NSE:BBTC,1261.45,1242.8,1307.75,1230.0,3.0,3911.95,3784.35,3923.25,-127.6,11.30000100000052,-3.26,0.29,3692.1,92.25,-3.46
BDL,BSE,138532612.0,INE171Z01018,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-10-02 00:00:00,{},4.0,0.0,0.0,,False,1186.7,1031.55,1004.9,-620.6000000000004,26.649999999999977,2.6520051746442412,holdings,BSE:BDL,1031.55,1009.0,1039.9,1003.8,4.0,4746.8,4126.2,4159.6,-620.6,-587.1999999999998,-13.07,-12.37,4019.6,106.6,-15.44
BECTORFOOD,NSE,416769.0,INE495P01012,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-10-02 00:00:00,{},4.0,0.0,0.0,,False,1038.85,1042.7,1013.1,15.400000000000546,29.600000000000023,2.921725397295432,holdings,NSE:BECTORFOOD,1042.7,1022.7,1047.0,1010.2,4.0,4155.4,4170.8,4188.0,15.4,32.600000000000364,0.37,0.78,4052.4,118.4,0.38
BEPL,BSE,128013316.0,INE922A01025,CNC,0.0,53.0,0.0,0.0,53.0,0.0,2023-10-02 00:00:00,{},53.0,0.0,0.0,,False,92.9,88.17,88.36,-250.69000000000023,-0.18999999999999773,-0.2150294250792188,holdings,BSE:BEPL,88.17,88.61,89.3,87.9,53.0,4923.7,4673.01,4732.9,-250.69,-190.8000000000011,-5.09,-3.88,4683.08,-10.07,-5.35
BHAGIL,BSE,135885572.0,INE354C01027,CNC,0.0,31.0,0.0,0.0,31.0,0.0,2023-10-02 00:00:00,{},31.0,0.0,0.0,,False,165.35,152.0,151.95,-413.8499999999998,0.05000000000001137,0.032905561039823214,holdings,BSE:BHAGIL,152.0,152.95,154.95,152.0,31.0,5125.85,4712.0,4803.45,-413.85,-322.39999999999964,-8.07,-6.29,4710.45,1.55,-8.79
BHARATGEAR,BSE,129456132.0,INE561C01019,CNC,0.0,54.0,0.0,0.0,54.0,0.0,2023-10-02 00:00:00,{},54.0,0.0,0.0,,False,127.65,122.6,121.65,-272.7000000000006,0.9499999999999886,0.7809288943690823,holdings,BSE:BHARATGEAR,122.6,122.95,123.3,122.1,54.0,6893.1,6620.4,6658.2,-272.7,-234.90000000000055,-3.96,-3.41,6569.1,51.3,-4.15
BIRLACORPN,BSE,128085764.0,INE340A01012,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-10-02 00:00:00,{},4.0,0.0,0.0,,False,1281.15,1235.5,1198.35,-182.60000000000036,37.15000000000009,3.100095965285609,holdings,BSE:BIRLACORPN,1235.5,1219.95,1235.5,1197.3,4.0,5124.6,4942.0,4942.0,-182.6,-182.60000000000036,-3.56,-3.56,4793.4,148.6,-3.81
BIRLAMONEY,NSE,3901185.0,INE865C01022,CNC,0.0,129.0,0.0,0.0,129.0,0.0,2023-10-02 00:00:00,{},129.0,0.0,0.0,,False,77.5,78.9,75.6,180.60000000000073,3.3000000000000114,4.36507936507938,holdings,NSE:BIRLAMONEY,78.9,75.8,79.85,75.15,129.0,9997.5,10178.1,10300.65,180.6,303.14999999999964,1.81,3.03,9752.4,425.7,1.85
BLBLIMITED,BSE,136266244.0,INE791A01024,CNC,0.0,426.0,0.0,0.0,426.0,0.0,2023-10-02 00:00:00,{},426.0,0.0,0.0,,False,23.45,22.8,22.93,-276.8999999999994,-0.129999999999999,-0.5669428696031357,holdings,BSE:BLBLIMITED,22.8,23.06,23.09,22.8,426.0,9989.7,9712.8,9836.34,-276.9,-153.35999999999876,-2.77,-1.54,9768.18,-55.38,-2.83
BLISSGVS,BSE,129586436.0,INE416D01022,CNC,0.0,52.0,0.0,0.0,52.0,0.0,2023-10-02 00:00:00,{},52.0,0.0,0.0,,False,98.0,89.3,89.09,-452.40000000000015,0.20999999999999375,0.23571669098663572,holdings,BSE:BLISSGVS,89.3,91.95,91.95,88.62,52.0,5096.0,4643.6,4781.400000000001,-452.4,-314.59999999999945,-8.88,-6.17,4632.68,10.92,-9.77
BPL,NSE,135681.0,INE110A01019,CNC,0.0,0.0,0.0,115.0,0.0,0.0,2023-10-02 00:00:00,{},115.0,0.0,0.0,,False,86.8,84.0,84.65,-321.99999999999966,-0.6500000000000057,-0.7678676904902606,holdings,NSE:BPL,84.0,85.7,85.85,83.45,115.0,9982.0,9660.0,9872.75,-322.0,-109.25,-3.23,-1.09,9734.75,-74.75,-3.31
BPLPHARMA,BSE,138520580.0,INE365Y01019,CNC,0.0,16.0,0.0,0.0,16.0,0.0,2023-10-02 00:00:00,{},16.0,0.0,0.0,,False,631.0,547.0,551.1,-1344.0,-4.100000000000023,-0.7439666122300893,holdings,BSE:BPLPHARMA,547.0,546.0,559.0,546.0,16.0,10096.0,8752.0,8944.0,-1344.0,-1152.0,-13.31,-11.41,8817.6,-65.6,-15.24
BRPL,BSE,137867780.0,INE319Q01012,CNC,0.0,143.0,0.0,0.0,143.0,0.0,2023-10-02 00:00:00,{},143.0,0.0,0.0,,False,119.0,106.7,105.85,-1758.2198919999996,0.8500000000000085,0.8030231459612741,holdings,BSE:BRPL,106.7,109.95,109.95,105.0,143.0,17016.32,15258.1,15722.85,-1758.22,-1293.4698919999992,-10.33,-7.6,15136.55,121.55,-11.62
BUTTERFLY,NSE,695297.0,INE295F01017,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-10-02 00:00:00,{},4.0,0.0,0.0,,False,1265.6,1266.3,1235.85,2.800000000000182,30.450000000000045,2.4638912489379816,holdings,NSE:BUTTERFLY,1266.3,1235.85,1285.6,1218.0,4.0,5062.4,5065.2,5142.4,2.8,80.0,0.06,1.58,4943.4,121.8,0.06
CAMPUS,BSE,139141892.0,INE278Y01022,CNC,0.0,109.0,0.0,0.0,109.0,0.0,2023-10-02 00:00:00,{},109.0,0.0,0.0,,False,333.02,289.1,289.9,-4786.9999789999965,-0.7999999999999545,-0.2759572266298567,holdings,BSE:CAMPUS,289.1,290.55,293.8,288.0,109.0,36298.9,31511.9,32024.2,-4787.0,-4274.699979000001,-13.19,-11.78,31599.1,-87.2,-15.15
CARBORUNIV,BSE,131424004.0,INE120A01034,CNC,0.0,8.0,0.0,0.0,8.0,0.0,2023-10-02 00:00:00,{},8.0,0.0,0.0,,False,1201.95,1177.0,1187.95,-199.60000000000036,-10.950000000000045,-0.9217559661601957,holdings,BSE:CARBORUNIV,1177.0,1181.05,1193.2,1168.1,8.0,9615.6,9416.0,9545.6,-199.6,-70.0,-2.08,-0.73,9503.6,-87.6,-2.1
CAREERP-BE,NSE,5143041.0,INE521J01018,CNC,0.0,48.0,0.0,0.0,48.0,0.0,2023-10-02 00:00:00,{},48.0,0.0,0.0,,False,215.0,190.75,190.85,-1164.0,-0.09999999999999432,-0.05239717055278717,holdings,NSE:CAREERP-BE,190.75,192.0,193.0,186.0,48.0,10320.0,9156.0,9264.0,-1164.0,-1056.0,-11.28,-10.23,9160.8,-4.8,-12.71
CASTROLIND,BSE,128222724.0,INE172A01027,CNC,0.0,33.0,0.0,0.0,33.0,0.0,2023-10-02 00:00:00,{},33.0,0.0,0.0,,False,155.35,138.65,136.6,-551.0999999999997,2.0500000000000114,1.5007320644216775,holdings,BSE:CASTROLIND,138.65,137.95,138.95,136.1,33.0,5126.55,4575.45,4585.349999999999,-551.1,-541.2000000000007,-10.75,-10.56,4507.8,67.65,-12.23
CDSL,NSE,5420545.0,INE736A01011,CNC,0.0,3.0,0.0,0.0,3.0,0.0,2023-10-02 00:00:00,{},3.0,0.0,0.0,,False,1425.0,1359.8,1333.1,-195.60000000000014,26.700000000000045,2.0028504988373,holdings,NSE:CDSL,1359.8,1339.0,1363.95,1327.4,3.0,4275.0,4079.4,4091.8500000000004,-195.6,-183.14999999999964,-4.58,-4.28,3999.3,80.1,-4.89
CENTRALBK,NSE,3812865.0,INE483A01010,CNC,0.0,191.0,0.0,0.0,191.0,0.0,2023-10-02 00:00:00,{},191.0,0.0,0.0,,False,52.25,51.3,50.3,-181.45000000000056,1.0,1.9880715705765408,holdings,NSE:CENTRALBK,51.3,51.05,52.1,50.7,191.0,9979.75,9798.3,9951.1,-181.45,-28.649999999999636,-1.82,-0.29,9607.3,191.0,-1.89
CHAMANSEQ,BSE,135758596.0,INE419D01026,CNC,0.0,41.0,0.0,0.0,41.0,0.0,2023-10-02 00:00:00,{},41.0,0.0,0.0,,False,243.45,238.0,234.6,-223.44999999999953,3.4000000000000057,1.449275362318843,holdings,BSE:CHAMANSEQ,238.0,238.9,238.95,233.35,41.0,9981.45,9758.0,9796.949999999999,-223.45,-184.5,-2.24,-1.85,9618.6,139.4,-2.32
CHEMPLASTS,BSE,139094020.0,INE488A01050,CNC,0.0,20.0,0.0,0.0,20.0,0.0,2023-10-02 00:00:00,{},20.0,0.0,0.0,,False,493.6,484.4,483.4,-184.0000000000009,1.0,0.2068680182043856,holdings,BSE:CHEMPLASTS,484.4,485.9,486.15,481.25,20.0,9872.0,9688.0,9723.0,-184.0,-149.0,-1.86,-1.51,9668.0,20.0,-1.9
CHOLAHLDNG,NSE,5565441.0,INE149A01033,CNC,0.0,8.0,0.0,0.0,8.0,0.0,2023-10-02 00:00:00,{},8.0,0.0,0.0,,False,1238.0,1160.45,1156.4,-620.3999999999996,4.0499999999999545,0.3502248356969867,holdings,NSE:CHOLAHLDNG,1160.45,1150.0,1174.0,1138.8,8.0,9904.0,9283.6,9392.0,-620.4,-512.0,-6.26,-5.17,9251.2,32.4,-6.71
CINELINE,BSE,136398596.0,INE704H01022,CNC,0.0,45.0,0.0,0.0,45.0,0.0,2023-10-02 00:00:00,{},45.0,0.0,0.0,,False,113.8,116.6,114.35,125.99999999999987,2.25,1.9676432006996065,holdings,BSE:CINELINE,116.6,114.65,116.6,114.65,45.0,5121.0,5247.0,5247.0,126.0,126.0,2.46,2.46,5145.75,101.25,2.45
CLEDUCATE,NSE,5177089.0,INE201M01029,CNC,0.0,62.0,0.0,0.0,62.0,0.0,2023-10-02 00:00:00,{},62.0,0.0,0.0,,False,80.5,71.25,71.3,-573.5,-0.04999999999999716,-0.07012622720897217,holdings,NSE:CLEDUCATE,71.25,71.05,74.0,70.9,62.0,4991.0,4417.5,4588.0,-573.5,-403.0,-11.49,-8.07,4420.6,-3.1,-12.97
CONTROLPR,NSE,4474113.0,INE663B01015,CNC,0.0,6.0,0.0,0.0,6.0,0.0,2023-10-02 00:00:00,{},6.0,0.0,0.0,,False,810.0,756.45,743.4,-321.2999999999997,13.050000000000068,1.755447941888629,holdings,NSE:CONTROLPR,756.45,740.0,769.8,740.0,6.0,4860.0,4538.7,4618.799999999999,-321.3,-241.20000000000073,-6.61,-4.96,4460.4,78.3,-7.2
CORALFINAC,BSE,136078340.0,INE558D01021,CNC,0.0,113.0,0.0,0.0,113.0,0.0,2023-10-02 00:00:00,{},113.0,0.0,0.0,,False,44.0,40.94,40.99,-345.78000000000026,-0.05000000000000426,-0.1219809709685393,holdings,BSE:CORALFINAC,40.94,43.25,43.25,40.55,113.0,4972.0,4626.22,4887.25,-345.78,-84.75,-6.95,-1.7,4631.87,-5.65,-7.47
CREATIVE,NSE,2855681.0,INE985W01018,CNC,0.0,6.0,0.0,0.0,6.0,0.0,2023-10-02 00:00:00,{},6.0,0.0,0.0,,False,544.77,527.7,517.5,-102.40000199999963,10.200000000000045,1.9710144927536322,holdings,NSE:CREATIVE,527.7,523.55,532.45,511.05,6.0,3268.6,3166.2,3194.7000000000003,-102.4,-73.90000199999986,-3.13,-2.26,3105.0,61.2,-3.3
CREST,NSE,3558401.0,INE559D01011,CNC,0.0,19.0,0.0,0.0,19.0,0.0,2023-10-02 00:00:00,{},19.0,0.0,0.0,,False,256.92,229.75,232.05,-516.1499910000003,-2.3000000000000114,-0.9911656970480548,holdings,NSE:CREST,229.75,234.95,237.1,226.1,19.0,4881.4,4365.25,4504.9,-516.15,-376.4999910000006,-10.57,-7.71,4408.95,-43.7,-11.71
CRISIL,BSE,128023556.0,INE007A01025,CNC,0.0,3.0,0.0,0.0,3.0,0.0,2023-10-02 00:00:00,{},3.0,0.0,0.0,,False,3975.0,3931.65,3904.9,-130.04999999999973,26.75,0.6850367487003508,holdings,BSE:CRISIL,3931.65,3911.95,3960.0,3853.85,3.0,11925.0,11794.95,11880.0,-130.05,-45.0,-1.09,-0.38,11714.7,80.25,-1.11
CROMPTON,BSE,138208260.0,INE299U01018,CNC,0.0,16.0,0.0,0.0,16.0,0.0,2023-10-02 00:00:00,{},16.0,0.0,0.0,,False,311.0,310.75,305.6,-4.0,5.149999999999977,1.6852094240837623,holdings,BSE:CROMPTON,310.75,308.95,316.7,305.6,16.0,4976.0,4972.0,5067.2,-4.0,91.19999999999982,-0.08,1.83,4889.6,82.4,-0.08
CSBBANK,BSE,138973956.0,INE679A01013,CNC,0.0,0.0,0.0,29.0,0.0,0.0,2023-10-02 00:00:00,{},29.0,0.0,0.0,,False,340.0,337.6,340.65,-69.59999999999934,-3.0499999999999545,-0.8953471304858227,holdings,BSE:CSBBANK,337.6,344.95,344.95,332.1,29.0,9860.0,9790.4,10003.55,-69.6,143.54999999999927,-0.71,1.46,9878.85,-88.45,-0.7
CSLFINANCE,BSE,135697156.0,INE718F01018,CNC,0.0,28.0,0.0,0.0,28.0,0.0,2023-10-02 00:00:00,{},28.0,0.0,0.0,,False,352.8,329.1,327.05,-663.5999999999997,2.0500000000000114,0.6268154716404254,holdings,BSE:CSLFINANCE,329.1,331.7,334.75,326.15,28.0,9878.4,9214.8,9373.0,-663.6,-505.39999999999964,-6.72,-5.12,9157.4,57.4,-7.25
CYIENT,NSE,1471489.0,INE136B01020,CNC,0.0,5.0,0.0,0.0,5.0,0.0,2023-10-02 00:00:00,{},5.0,0.0,0.0,,False,1698.1,1694.3,1691.15,-18.999999999999773,3.1499999999998636,0.18626378499836582,holdings,NSE:CYIENT,1694.3,1702.85,1716.55,1685.05,5.0,8490.5,8471.5,8582.75,-19.0,92.25,-0.22,1.09,8455.75,15.75,-0.22
